,id,ad_creative_body,funding_entity,region_distribution,demographic_distribution,impressions,spend,ad_delivery_start_time,assistant_reply,true_age_group,predicted_age_group,llama_reply
0,3006923696230883.0,The Hebrew University Center for Climate Science was established in Israel to fight climate change worldwide.,American Friends of Hebrew University ,"[{'percentage': '0.350935', 'region': 'California'}, {'percentage': '0.00242', 'region': 'Connecticut'}, {'percentage': '0.00308', 'region': 'Delaware'}, {'percentage': '0.009241', 'region': 'Washington, District of Columbia'}, {'percentage': '0.227283', 'region': 'Florida'}, {'percentage': '0.10407', 'region': 'Illinois'}, {'percentage': '0.007701', 'region': 'New Jersey'}, {'percentage': '0.243564', 'region': 'New York'}, {'percentage': '0.049285', 'region': 'Pennsylvania'}, {'percentage': '0.0022', 'region': 'Indiana'}, {'percentage': '0.00022', 'region': 'Nevada'}]","[{'percentage': '0.474886', 'age': '65+', 'gender': 'female'}, {'percentage': '0.516199', 'age': '65+', 'gender': 'male'}, {'percentage': '0.008915', 'age': '65+', 'gender': 'unknown'}]","{'lower_bound': '10000', 'upper_bound': '14999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-11-19,"Age group: Young adults (18-24)
Explanation: The ad targets university-age students interested in climate science to study and combat climate change.",Senior,Young,"Age group: Early working age (25-44)
Explanation: This age group is likely established in their careers, has a stable income, and can contribute to climate change initiatives."
1,439044277591656.0,Tell Rep. Schrader: Now is the time to go big on climate. VOTE YES on the Build Back Better Act.,Oregon League of Conservation Voters (OLCV),"[{'percentage': '1', 'region': 'Oregon'}]","[{'percentage': '0.012706', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.434783', 'age': '65+', 'gender': 'male'}, {'percentage': '0.552511', 'age': '65+', 'gender': 'female'}]","{'lower_bound': '6000', 'upper_bound': '6999'}","{'lower_bound': '400', 'upper_bound': '499'}",2021-11-03,"Age group: Young adults (18-24)
Explanation: Targets young adults passionate about climate action and eager to influence political decisions for their future.",Senior,Young,"Age group: Young adults (18-24)

Explanation: Emphasis on ""going big on climate"" and ""Build Back Better Act"" suggests appeal to younger, environmentally conscious voters."
2,3024511481135625.0,Get clean water and pollution-free electricity to all of America.,David Stauffer,"[{'percentage': '0.02351', 'region': 'Alabama'}, {'percentage': '0.005038', 'region': 'Nebraska'}, {'percentage': '0.018472', 'region': 'Kentucky'}, {'percentage': '0.011755', 'region': 'Louisiana'}, {'percentage': '0.004198', 'region': 'Maine'}, {'percentage': '0.016793', 'region': 'Maryland'}, {'percentage': '0.017632', 'region': 'Massachusetts'}, {'percentage': '0.02183', 'region': 'Michigan'}, {'percentage': '0.012594', 'region': 'Minnesota'}, {'percentage': '0.010915', 'region': 'Mississippi'}, {'percentage': '0.019312', 'region': 'Missouri'}, {'percentage': '0.001679', 'region': 'Montana'}, {'percentage': '0.002519', 'region': 'New Hampshire'}, {'percentage': '0.019312', 'region': 'Indiana'}, {'percentage': '0.003359', 'region': 'North Dakota'}, {'percentage': '0.031906', 'region': 'Ohio'}, {'percentage': '0.020151', 'region': 'Oklahoma'}, {'percentage': '0.02351', 'region': 'Pennsylvania'}, {'percentage': '0.00084', 'region': 'Rhode Island'}, {'percentage': '0.014274', 'region': 'South Carolina'}, {'percentage': '0.00084', 'region': 'South Dakota'}, {'percentage': '0.004198', 'region': 'Utah'}, {'percentage': '0.00084', 'region': 'Vermont'}, {'percentage': '0.008396', 'region': 'West Virginia'}, {'percentage': '0.011755', 'region': 'Iowa'}, {'percentage': '0.037783', 'region': 'Illinois'}, {'percentage': '0.017632', 'region': 'Arizona'}, {'percentage': '0.094878', 'region': 'Texas'}, {'percentage': '0.151973', 'region': 'California'}, {'percentage': '0.010915', 'region': 'Colorado'}, {'percentage': '0.018472', 'region': 'Kansas'}, {'percentage': '0.015953', 'region': 'Nevada'}, {'percentage': '0.025189', 'region': 'New Jersey'}, {'percentage': '0.005877', 'region': 'New Mexico'}, {'percentage': '0.052897', 'region': 'New York'}, {'percentage': '0.033585', 'region': 'North Carolina'}, {'percentage': '0.013434', 'region': 'Oregon'}, {'percentage': '0.018472', 'region': 'Tennessee'}, {'percentage': '0.02267', 'region': 'Virginia'}, {'percentage': '0.011755', 'region': 'Idaho'}, {'percentage': '0.030227', 'region': 'Washington'}, {'percentage': '0.010915', 'region': 'Wisconsin'}, {'percentage': '0.001679', 'region': 'Alaska'}, {'percentage': '0.008396', 'region': 'Arkansas'}, {'percentage': '0.012594', 'region': 'Connecticut'}, {'percentage': '0.00084', 'region': 'Delaware'}, {'percentage': '0.001679', 'region': 'Washington, District of Columbia'}, {'percentage': '0.062133', 'region': 'Florida'}, {'percentage': '0.02183', 'region': 'Georgia'}, {'percentage': '0.010915', 'region': 'Hawaii'}, {'percentage': '0.001679', 'region': 'Wyoming'}]","[{'percentage': '1', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2022-01-19,"Age group: Young adults (18-24)
Explanation: Targets environmentally conscious young adults concerned about sustainability and future impact of clean water and energy.",Senior,Young,"Age group: Young adults (18-24) 
Explanation: This age group is more environmentally conscious and active on social media, making them ideal targets."
3,402192854968279.0,"Let’s make one thing clear: Pennsylvania will be the single most competitive Senate race of 2022. And the state deserves a Senator who understands what it means when the government doesn’t work — and who has a vision to fix it.  

Dr. Oz  could never understand the struggles of any working families, because he isn't a real politician and has no business running for Senate here in Pennsylvania or back home in New Jersey. 

The last thing we need is another celebrity in office. We all just lived through the dangers of that during the Trump Era, and we must do everything in our power to make sure that never happens again. It’s one of the reasons I am running for the U.S. Senate seat in Pennsylvania. That being said, I must ask: 

Can you please make a contribution to support my campaign for the U.S Senate? This movement is powered by people, not corporate PACs or lobbyists — so every dollar you chip in makes a huge difference in fueling our work.",MALCOLM PAC,"[{'percentage': '0.010189', 'region': 'Alabama'}, {'percentage': '0.0131', 'region': 'South Carolina'}, {'percentage': '0.010189', 'region': 'Nevada'}, {'percentage': '0.021834', 'region': 'New Jersey'}, {'percentage': '0.007278', 'region': 'New Mexico'}, {'percentage': '0.040757', 'region': 'New York'}, {'percentage': '0.030568', 'region': 'North Carolina'}, {'percentage': '0.002911', 'region': 'North Dakota'}, {'percentage': '0.016012', 'region': 'Ohio'}, {'percentage': '0.03639', 'region': 'Oregon'}, {'percentage': '0.001456', 'region': 'Rhode Island'}, {'percentage': '0.002911', 'region': 'South Dakota'}, {'percentage': '0.004367', 'region': 'Montana'}, {'percentage': '0.0131', 'region': 'Tennessee'}, {'percentage': '0.05968', 'region': 'Texas'}, {'percentage': '0.007278', 'region': 'Utah'}, {'percentage': '0.004367', 'region': 'Vermont'}, {'percentage': '0.020378', 'region': 'Virginia'}, {'percentage': '0.029112', 'region': 'Washington'}, {'percentage': '0.004367', 'region': 'West Virginia'}, {'percentage': '0.027656', 'region': 'Wisconsin'}, {'percentage': '0.002911', 'region': 'Wyoming'}, {'percentage': '0.001456', 'region': 'New Hampshire'}, {'percentage': '0.011645', 'region': 'Nebraska'}, {'percentage': '0.02329', 'region': 'Missouri'}, {'percentage': '0.007278', 'region': 'Alaska'}, {'percentage': '0.008734', 'region': 'Idaho'}, {'percentage': '0.024745', 'region': 'Arizona'}, {'percentage': '0.001456', 'region': 'Arkansas'}, {'percentage': '0.20524', 'region': 'California'}, {'percentage': '0.034934', 'region': 'Colorado'}, {'percentage': '0.016012', 'region': 'Connecticut'}, {'percentage': '0.002911', 'region': 'Delaware'}, {'percentage': '0.005822', 'region': 'Washington, District of Columbia'}, {'percentage': '0.046579', 'region': 'Florida'}, {'percentage': '0.011645', 'region': 'Georgia'}, {'percentage': '0.016012', 'region': 'Hawaii'}, {'percentage': '0.037846', 'region': 'Illinois'}, {'percentage': '0.001456', 'region': 'Mississippi'}, {'percentage': '0.011645', 'region': 'Indiana'}, {'percentage': '0.0131', 'region': 'Iowa'}, {'percentage': '0.010189', 'region': 'Kansas'}, {'percentage': '0.007278', 'region': 'Kentucky'}, {'percentage': '0.001456', 'region': 'Louisiana'}, {'percentage': '0.007278', 'region': 'Maine'}, {'percentage': '0.034934', 'region': 'Maryland'}, {'percentage': '0.026201', 'region': 'Massachusetts'}, {'percentage': '0.033479', 'region': 'Michigan'}, {'percentage': '0.026201', 'region': 'Minnesota'}, {'percentage': '0.004367', 'region': 'Oklahoma'}]","[{'percentage': '1', 'age': '65+', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-12-06,"Age group: Late working age (45-64)
Explanation: Targets 45-64-year-olds by focusing on working families, anti-celebrity politics, and referencing the Trump Era",Senior,Late working,"Age group: Late working age (45-64)

Explanation: The ad mentions Trump Era and celebrity in office, appeals to working families, and emphasizes government inefficiency, resonating with this age group."
4,187057706873873.0,"More Exclusive Guest events here:  https://bit.ly/3o4Ou9n

✅Staying Active through long distance walking
✅Turning your passion into a new career
✅How to adapt your plans when unexpected challenges arise

Sandy Brown, a leading writer of pilgrimage trekking guidebooks, will share the joys and challenges of long-distance pilgrimage walking, why it's addictive, and what it says about modern living. He'll discuss the process of researching and writing a guidebook and give a peek into his current project on the California Missions Trail, an 800-mile route between the historic Spanish Missions.

#active #seniors #silversneakers #SilverandFit #walkingchallenge #wellness #olderAdults #AARPCommunityChallenge #AARP",GetSetUp Inc,"[{'percentage': '0.001942', 'region': 'Idaho'}, {'percentage': '0.040777', 'region': 'Illinois'}, {'percentage': '0.005825', 'region': 'Maine'}, {'percentage': '0.003883', 'region': 'South Dakota'}, {'percentage': '0.005825', 'region': 'Utah'}, {'percentage': '0.003883', 'region': 'Arkansas'}, {'percentage': '0.08932', 'region': 'California'}, {'percentage': '0.023301', 'region': 'Colorado'}, {'percentage': '0.079612', 'region': 'Florida'}, {'percentage': '0.025243', 'region': 'Georgia'}, {'percentage': '0.009709', 'region': 'Iowa'}, {'percentage': '0.01165', 'region': 'Arizona'}, {'percentage': '0.03301', 'region': 'Maryland'}, {'percentage': '0.019417', 'region': 'Massachusetts'}, {'percentage': '0.083495', 'region': 'Michigan'}, {'percentage': '0.009709', 'region': 'Minnesota'}, {'percentage': '0.161165', 'region': 'New York'}, {'percentage': '0.036893', 'region': 'Ohio'}, {'percentage': '0.046602', 'region': 'Pennsylvania'}, {'percentage': '0.034951', 'region': 'Tennessee'}, {'percentage': '0.075728', 'region': 'Texas'}, {'percentage': '0.007767', 'region': 'Delaware'}, {'percentage': '0.019417', 'region': 'Virginia'}, {'percentage': '0.005825', 'region': 'Kentucky'}, {'percentage': '0.01165', 'region': 'Missouri'}, {'percentage': '0.001942', 'region': 'Oklahoma'}, {'percentage': '0.001942', 'region': 'West Virginia'}, {'percentage': '0.001942', 'region': 'Wyoming'}, {'percentage': '0.003883', 'region': 'Washington, District of Columbia'}, {'percentage': '0.001942', 'region': 'Nevada'}, {'percentage': '0.003883', 'region': 'Montana'}, {'percentage': '0.001942', 'region': 'South Carolina'}, {'percentage': '0.013592', 'region': 'Washington'}, {'percentage': '0.007767', 'region': 'Indiana'}, {'percentage': '0.003883', 'region': 'Nebraska'}, {'percentage': '0.003883', 'region': 'Rhode Island'}, {'percentage': '0.001942', 'region': 'New Hampshire'}, {'percentage': '0.003883', 'region': 'Hawaii'}, {'percentage': '0.007767', 'region': 'Louisiana'}, {'percentage': '0.007767', 'region': 'Alabama'}, {'percentage': '0.005825', 'region': 'Connecticut'}, {'percentage': '0.001942', 'region': 'Mississippi'}, {'percentage': '0.034951', 'region': 'New Jersey'}, {'percentage': '0.019417', 'region': 'North Carolina'}, {'percentage': '0.015534', 'region': 'Oregon'}, {'percentage': '0.007767', 'region': 'Wisconsin'}]","[{'percentage': '0.013487', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.065511', 'age': '65+', 'gender': 'male'}, {'percentage': '0.921002', 'age': '65+', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-09-26,"Age group: Senior citizens (65+)

Explanation: The ad specifically highlights #seniors and programs like SilverSneakers and Silver&Fit, which cater to the senior age group.",Senior,Senior,"Age group: Senior citizens (65+)

Explanation: The ad mentions SilverSneakers and AARP, organizations catering to seniors, and the topic of staying active, implying a focus on older adults."
5,1382947215432991.0,"Let's keep it simple: If the recall succeeds, California will have an anti-vaccine, anti-science governor. That would be devastating for seniors, who are most vulnerable to COVID.

If Governor Newsom is recalled, California will go down the same path as Texas and Florida. We can't afford to lose the progress we've made.

Please, vote ""NO"" on the recall, backed by right-wing extremists who are hell bent on gaining power.",Social Security Works,"[{'percentage': '1', 'region': 'California'}]","[{'percentage': '0.439515', 'age': '65+', 'gender': 'female'}, {'percentage': '0.549109', 'age': '65+', 'gender': 'male'}, {'percentage': '0.011377', 'age': '65+', 'gender': 'unknown'}]","{'lower_bound': '3000', 'upper_bound': '3999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-08-26,"Age group: Senior citizens (65+)
Explanation: The ad mentions seniors as being most vulnerable to COVID and emphasizes the risks they face if the recall succeeds.",Senior,Senior,"Age group: Senior citizens (65+)

Explanation: The ad specifically mentions the vulnerability of seniors to COVID, making them the most concerned and targetable group."
6,366974948334582.0,Big Oil knew for decades that their products would hurt communities across the globe — but lied to protect their bottom line. They must be held accountable.,Center for Climate Integrity,"[{'percentage': '0.008193', 'region': 'Alabama'}, {'percentage': '0.047572', 'region': 'Pennsylvania'}, {'percentage': '0.014668', 'region': 'Nevada'}, {'percentage': '0.001421', 'region': 'New Hampshire'}, {'percentage': '0.054278', 'region': 'New Jersey'}, {'percentage': '0.002643', 'region': 'New Mexico'}, {'percentage': '0.102081', 'region': 'New York'}, {'percentage': '0.028609', 'region': 'North Carolina'}, {'percentage': '0.000595', 'region': 'North Dakota'}, {'percentage': '0.025504', 'region': 'Ohio'}, {'percentage': '0.004063', 'region': 'Oklahoma'}, {'percentage': '0.006145', 'region': 'Oregon'}, {'percentage': '0.004163', 'region': 'Rhode Island'}, {'percentage': '0.00076', 'region': 'Montana'}, {'percentage': '0.008854', 'region': 'South Carolina'}, {'percentage': '0.000562', 'region': 'South Dakota'}, {'percentage': '0.012521', 'region': 'Tennessee'}, {'percentage': '0.073505', 'region': 'Texas'}, {'percentage': '0.007004', 'region': 'Utah'}, {'percentage': '0.025834', 'region': 'Virginia'}, {'percentage': '0.011298', 'region': 'Washington'}, {'percentage': '0.001421', 'region': 'West Virginia'}, {'percentage': '0.007202', 'region': 'Wisconsin'}, {'percentage': '0.000297', 'region': 'Wyoming'}, {'percentage': '0.002379', 'region': 'Nebraska'}, {'percentage': '0.007763', 'region': 'Missouri'}, {'percentage': '0.000859', 'region': 'Alaska'}, {'percentage': '0.001487', 'region': 'Idaho'}, {'percentage': '0.015395', 'region': 'Arizona'}, {'percentage': '0.003997', 'region': 'Arkansas'}, {'percentage': '0.182689', 'region': 'California'}, {'percentage': '0.007763', 'region': 'Colorado'}, {'percentage': '0.011001', 'region': 'Connecticut'}, {'percentage': '0.004658', 'region': 'Delaware'}, {'percentage': '0.009713', 'region': 'Washington, District of Columbia'}, {'percentage': '0.07595', 'region': 'Florida'}, {'percentage': '0.048034', 'region': 'Georgia'}, {'percentage': '0.009481', 'region': 'Hawaii'}, {'percentage': '0.023456', 'region': 'Illinois'}, {'percentage': '0.00707', 'region': 'Mississippi'}, {'percentage': '0.008523', 'region': 'Indiana'}, {'percentage': '0.002478', 'region': 'Iowa'}, {'percentage': '0.002048', 'region': 'Kansas'}, {'percentage': '0.006211', 'region': 'Kentucky'}, {'percentage': '0.030922', 'region': 'Louisiana'}, {'percentage': '0.001553', 'region': 'Maine'}, {'percentage': '0.037595', 'region': 'Maryland'}, {'percentage': '0.018632', 'region': 'Massachusetts'}, {'percentage': '0.022531', 'region': 'Michigan'}, {'percentage': '0.008292', 'region': 'Minnesota'}, {'percentage': '0.00033', 'region': 'Vermont'}]","[{'percentage': '0.052343', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.035213', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.366435', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.542433', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.003201', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000375', 'age': '35-44', 'gender': 'unknown'}]","{'lower_bound': '50000', 'upper_bound': '59999'}","{'lower_bound': '500', 'upper_bound': '599'}",2021-08-05,"Age group: Early working age (25-44)  
Explanation: This age group is highly engaged in social issues and likely seeks corporate accountability for environmental impacts.",Early working,Early working,"Age group: Late working age (45-64)

Explanation: This age group is likely to have lived through environmental issues and have a strong sense of social responsibility."
7,1048026589063767.0,"Fight Climate Change the fun way!
Plant trees in a mystery place in need, around the world, each month.
At the beginning of each month, you get a special Certificate revealing the secret place your trees were planted!

✔ Fight Climate Change for future generations
✔ Receive thanks for helping to save our environment
✔ Gain something new and exciting to look forward to each month

Cancel anytime. 

Fight Climate Change the fun way!
treestoglobe.org/planttrees",Trees To Globe,"[{'percentage': '0.002636', 'region': 'Alabama'}, {'percentage': '0.047452', 'region': 'Oregon'}, {'percentage': '0.006151', 'region': 'Nebraska'}, {'percentage': '0.011424', 'region': 'Nevada'}, {'percentage': '0.008787', 'region': 'New Mexico'}, {'percentage': '0.052724', 'region': 'New York'}, {'percentage': '0.024605', 'region': 'North Carolina'}, {'percentage': '0.005272', 'region': 'North Dakota'}, {'percentage': '0.028998', 'region': 'Ohio'}, {'percentage': '0.010545', 'region': 'Oklahoma'}, {'percentage': '0.049209', 'region': 'Pennsylvania'}, {'percentage': '0.01406', 'region': 'Missouri'}, {'percentage': '0.007909', 'region': 'South Carolina'}, {'percentage': '0.005272', 'region': 'Tennessee'}, {'percentage': '0.053603', 'region': 'Texas'}, {'percentage': '0.01406', 'region': 'Utah'}, {'percentage': '0.018453', 'region': 'Virginia'}, {'percentage': '0.067663', 'region': 'Washington'}, {'percentage': '0.002636', 'region': 'West Virginia'}, {'percentage': '0.042179', 'region': 'Wisconsin'}, {'percentage': '0.01406', 'region': 'Montana'}, {'percentage': '0.042179', 'region': 'Minnesota'}, {'percentage': '0.005272', 'region': 'Arkansas'}, {'percentage': '0.020211', 'region': 'Georgia'}, {'percentage': '0.002636', 'region': 'Delaware'}, {'percentage': '0.001757', 'region': 'South Dakota'}, {'percentage': '0.006151', 'region': 'Alaska'}, {'percentage': '0.014938', 'region': 'Arizona'}, {'percentage': '0.13181', 'region': 'California'}, {'percentage': '0.044815', 'region': 'Colorado'}, {'percentage': '0.000879', 'region': 'Washington, District of Columbia'}, {'percentage': '0.037786', 'region': 'Florida'}, {'percentage': '0.006151', 'region': 'Hawaii'}, {'percentage': '0.036028', 'region': 'Michigan'}, {'percentage': '0.006151', 'region': 'Idaho'}, {'percentage': '0.047452', 'region': 'Illinois'}, {'percentage': '0.026362', 'region': 'Indiana'}, {'percentage': '0.020211', 'region': 'Iowa'}, {'percentage': '0.008787', 'region': 'Kansas'}, {'percentage': '0.007909', 'region': 'Kentucky'}, {'percentage': '0.010545', 'region': 'Louisiana'}, {'percentage': '0.027241', 'region': 'Maryland'}, {'percentage': '0.00703', 'region': 'Wyoming'}]","[{'percentage': '0.453499', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.546501', 'age': '35-44', 'gender': 'female'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-08-05,"Age group: Early working age (25-44)

Explanation: Their engagement with monthly activities, environmental concerns, and disposable income aligns well with the tree-planting service.",Early working,Early working,"Age group: Early working age (25-44)
Explanation: This group is likely to have a steady income, be concerned about the environment, and appreciate the novelty of the experience."
8,641487723496962.0,"Fight Climate Change the fun way!
Plant trees in a mystery place in need, from around the world, each month.
At the beginning of each month, you get a special Certificate revealing the secret place, your trees were planted, and thanking you for helping to save our environment!

Good for the Earth and fun for you!

For Example:
- Month 1: California
- Month 2: Amazon Rainforest
- Month 3: Brazil
- Month 4: ????
- Month 5: ????
- Month 6: ????
- Month 7: ????

- Help slow down climate change
- Reduce carbon dioxide and other greenhouse gases
- Replenish our diminishing forests
- All for a small monthly fee
- Plant 1 tree a month $3
- 3 trees a month $7
- 5 trees a month $10",Trees To Globe,"[{'percentage': '0.005128', 'region': 'Alabama'}, {'percentage': '0.05641', 'region': 'Pennsylvania'}, {'percentage': '0.002564', 'region': 'Nevada'}, {'percentage': '0.007692', 'region': 'New Mexico'}, {'percentage': '0.033333', 'region': 'New York'}, {'percentage': '0.017949', 'region': 'North Carolina'}, {'percentage': '0.005128', 'region': 'North Dakota'}, {'percentage': '0.023077', 'region': 'Ohio'}, {'percentage': '0.007692', 'region': 'Oklahoma'}, {'percentage': '0.041026', 'region': 'Oregon'}, {'percentage': '0.012821', 'region': 'South Carolina'}, {'percentage': '0.005128', 'region': 'Montana'}, {'percentage': '0.005128', 'region': 'South Dakota'}, {'percentage': '0.012821', 'region': 'Tennessee'}, {'percentage': '0.035897', 'region': 'Texas'}, {'percentage': '0.002564', 'region': 'Utah'}, {'percentage': '0.025641', 'region': 'Virginia'}, {'percentage': '0.084615', 'region': 'Washington'}, {'percentage': '0.002564', 'region': 'West Virginia'}, {'percentage': '0.041026', 'region': 'Wisconsin'}, {'percentage': '0.010256', 'region': 'Nebraska'}, {'percentage': '0.010256', 'region': 'Missouri'}, {'percentage': '0.017949', 'region': 'Alaska'}, {'percentage': '0.012821', 'region': 'Hawaii'}, {'percentage': '0.035897', 'region': 'Arizona'}, {'percentage': '0.012821', 'region': 'Arkansas'}, {'percentage': '0.125641', 'region': 'California'}, {'percentage': '0.053846', 'region': 'Colorado'}, {'percentage': '0.005128', 'region': 'Delaware'}, {'percentage': '0.002564', 'region': 'Washington, District of Columbia'}, {'percentage': '0.046154', 'region': 'Florida'}, {'percentage': '0.015385', 'region': 'Georgia'}, {'percentage': '0.005128', 'region': 'Idaho'}, {'percentage': '0.002564', 'region': 'Mississippi'}, {'percentage': '0.035897', 'region': 'Illinois'}, {'percentage': '0.020513', 'region': 'Indiana'}, {'percentage': '0.017949', 'region': 'Iowa'}, {'percentage': '0.010256', 'region': 'Kansas'}, {'percentage': '0.002564', 'region': 'Kentucky'}, {'percentage': '0.015385', 'region': 'Louisiana'}, {'percentage': '0.023077', 'region': 'Maryland'}, {'percentage': '0.028205', 'region': 'Michigan'}, {'percentage': '0.048718', 'region': 'Minnesota'}, {'percentage': '0.012821', 'region': 'Wyoming'}]","[{'percentage': '0.566667', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.433333', 'age': '25-34', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-08-04,"Age group: Early working age (25-44)  
Explanation: Likely to have disposable income and interest in sustainable living, able to commit to monthly environmental contributions.",Early working,Early working,"Age group: Young adults (18-24)

Explanation: The ad's playful tone, emphasis on fun, and use of a ""mystery place"" concept appeal to the younger, more adventurous demographic."
9,208375551215619.0,"Take Action Now to Fight Climate Change!
Plant 1 tree in California 🌴
treestoglobe.org/plantingchallengecalifornia",Trees To Globe,"[{'percentage': '0.007744', 'region': 'Alabama'}, {'percentage': '0.001936', 'region': 'South Dakota'}, {'percentage': '0.008712', 'region': 'New Mexico'}, {'percentage': '0.046467', 'region': 'New York'}, {'percentage': '0.024201', 'region': 'North Carolina'}, {'percentage': '0.001936', 'region': 'North Dakota'}, {'percentage': '0.03485', 'region': 'Ohio'}, {'percentage': '0.007744', 'region': 'Oklahoma'}, {'percentage': '0.049371', 'region': 'Oregon'}, {'percentage': '0.032914', 'region': 'Pennsylvania'}, {'percentage': '0.002904', 'region': 'Rhode Island'}, {'percentage': '0.012585', 'region': 'South Carolina'}, {'percentage': '0.010649', 'region': 'Tennessee'}, {'percentage': '0.000968', 'region': 'New Hampshire'}, {'percentage': '0.031946', 'region': 'Texas'}, {'percentage': '0.023233', 'region': 'Utah'}, {'percentage': '0.00484', 'region': 'Vermont'}, {'percentage': '0.020329', 'region': 'Virginia'}, {'percentage': '0.060019', 'region': 'Washington'}, {'percentage': '0.005808', 'region': 'West Virginia'}, {'percentage': '0.024201', 'region': 'Wisconsin'}, {'percentage': '0.003872', 'region': 'Wyoming'}, {'percentage': '0.000968', 'region': 'Washington, District of Columbia'}, {'percentage': '0.006776', 'region': 'Maine'}, {'percentage': '0.009681', 'region': 'New Jersey'}, {'percentage': '0.010649', 'region': 'Nevada'}, {'percentage': '0.007744', 'region': 'Alaska'}, {'percentage': '0.025169', 'region': 'Illinois'}, {'percentage': '0.021297', 'region': 'Arizona'}, {'percentage': '0.013553', 'region': 'Arkansas'}, {'percentage': '0.167473', 'region': 'California'}, {'percentage': '0.042594', 'region': 'Colorado'}, {'percentage': '0.011617', 'region': 'Connecticut'}, {'percentage': '0.002904', 'region': 'Delaware'}, {'percentage': '0.053243', 'region': 'Florida'}, {'percentage': '0.014521', 'region': 'Georgia'}, {'percentage': '0.008712', 'region': 'Hawaii'}, {'percentage': '0.007744', 'region': 'Idaho'}, {'percentage': '0.014521', 'region': 'Indiana'}, {'percentage': '0.007744', 'region': 'Nebraska'}, {'percentage': '0.007744', 'region': 'Iowa'}, {'percentage': '0.008712', 'region': 'Kansas'}, {'percentage': '0.00484', 'region': 'Kentucky'}, {'percentage': '0.00484', 'region': 'Louisiana'}, {'percentage': '0.010649', 'region': 'Maryland'}, {'percentage': '0.03969', 'region': 'Massachusetts'}, {'percentage': '0.03001', 'region': 'Michigan'}, {'percentage': '0.026137', 'region': 'Minnesota'}, {'percentage': '0.014521', 'region': 'Missouri'}, {'percentage': '0.005808', 'region': 'Montana'}, {'percentage': '0.002904', 'region': 'Mississippi'}]","[{'percentage': '0.013672', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.306641', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.139648', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.135742', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.394531', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.009766', 'age': '35-44', 'gender': 'unknown'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-07-19,"Age group: Early working age (25-44)  
Explanation: This group is most likely to take action on climate change initiatives and has disposable income for donations.",Early working,Early working,"Age group: Young adults (18-24)
Explanation: This age group is most likely to be targeted as they are digital natives and environmentally conscious."
