id,explanation
3006923696230883.0,The ad targets university-age students interested in climate science to study and combat climate change.
439044277591656.0,Targets young adults passionate about climate action and eager to influence political decisions for their future.
3024511481135625.0,Targets environmentally conscious young adults concerned about sustainability and future impact of clean water and energy.
402192854968279.0,"Targets 45-64-year-olds by focusing on working families, anti-celebrity politics, and referencing the Trump Era"
187057706873873.0,"The ad specifically highlights #seniors and programs like SilverSneakers and Silver&Fit, which cater to the senior age group."
1382947215432991.0,The ad mentions seniors as being most vulnerable to COVID and emphasizes the risks they face if the recall succeeds.
366974948334582.0,This age group is highly engaged in social issues and likely seeks corporate accountability for environmental impacts.
1048026589063767.0,"Their engagement with monthly activities, environmental concerns, and disposable income aligns well with the tree-planting service."
641487723496962.0,"Likely to have disposable income and interest in sustainable living, able to commit to monthly environmental contributions."
208375551215619.0,This group is most likely to take action on climate change initiatives and has disposable income for donations.
901401940719728.0,This age group is often more environmentally active and responds well to social media campaigns promoting climate action initiatives.
1905915259595156.8,This group is likely to be parents motivated by concerns for their children's future and climate change.
240173901014469.0,This age group is often highly engaged with environmental causes and active on social media platforms promoting such initiatives.
194718655782945.0,"This age group is most likely to be engaged in career-building, innovation, and interested in sustainable agriculture and biofuels."
297791808800023.0,Most likely to have interest and financial ability for sustainable travel and investment in eco-friendly options like biofuels.
529143264928590.0,This group is likely environmentally conscious and financially capable of subscribing to a tree-planting service.
322534465900174.0,"This age group often actively engages in political events and climate change, making them likely targets for such an ad."
213880016953502.0,"This demographic is most environmentally conscious and likely engaged in current socio-political issues; hence, they are prime targets."
322686152559288.0,"More likely to be concerned about extreme weather events, climate impacts, and future environment for their children."
1889899714498864.0,"This group likely prioritizes community and health, making them more responsive to climate change's health impact findings."
971512993653109.0,This age group often appreciates cause-driven gifts and is financially stable to purchase items like meaningful bracelets.
810839786178492.0,"Most likely to be environmentally conscious, willing to invest in sustainable products, and have disposable income for purchases."
163523285594310.0,This group is more environmentally conscious and financially stable to support sustainable products like Viably's carbon offset bracelet.
192170945692131.0,"This group is most actively engaged in both professional roles and household decisions, influencing sustainable lifestyle changes effectively."
439004627366503.0,"Parents in this age range are most likely to have young children and prioritize organic, climate-friendly baby food."
191177225694692.0,"This age group likely includes new parents interested in sustainable, healthy food options for their babies."
186956226191652.0,"They are likely environmentally conscious, health-focused, and financially capable of supporting sustainability initiatives like regenerative agriculture."
619740115835196.0,Most likely to be engaged in activism for sustainability and shop at retailers mentioned in the ad.
449635560188566.0,This age group is more likely to be engaged in advocacy and economics-related topics affecting their professional and personal future.
511618797002895.0,This group is most engaged in investment and policy for long-term financial and environmental stability.
