id,ad_creative_body,funding_entity,region_distribution,demographic_distribution,impressions,spend,ad_delivery_start_time,assistant_reply,true_gender,predicted_gender
437461650677027.0,"Achieving our goal of planting 10 million trees by 2025 can not only improve the quality of Pennsylvania waterways and wildlife—it can also improve the value of your land. Sign up today to learn more about the benefits of adding trees, free of cost, to your property through the Keystone Ten Million Trees Partnership.","CHESAPEAKE BAY FOUNDATION, INC., THE",,"[{'percentage': '0.425676', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.263514', 'age': '65+', 'gender': 'male'}, {'percentage': '0.310811', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-05-27,"Gender: Male  
Explanation: Men may be more likely to own land, being targeted for property value improvement and environmental benefits.",male,male
2816867998623641.0,"We asked some people to try our new beer, and they hated it. That’s the point. Torched Earth Ale is climate change in a can. 
 

 Visit drinksustainably.com to help us take action and give big business a last call on climate. Link in bio.
 

 #lastcallforclimate","NEW BELGIUM BREWING COMPANY, INC.",,"[{'percentage': '0.175696', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.824304', 'age': '25-34', 'gender': 'male'}]","{'lower_bound': '500000', 'upper_bound': '599999'}","{'lower_bound': '7000', 'upper_bound': '7999'}",2021-04-23,"Gender: Male
Explanation: Beer advertisements traditionally target men more often, appealing to their sense of adventure and environmental responsibility.",male,male
2892611304286267.0,"A new beer, from a future we hope doesn’t exist. Torched Earth Ale is a tangible example of the detriments of climate change, and it’s not great because buckwheat and dandelion in smoke-tainted water isn’t the recipe for good beer. 
 

 The outlook for barley, hops and water is bleak in a climate-ravaged world. To prevent this, swift and sweeping action, especially on the part of business, is critical. That’s why we’re calling on the 70% of Fortune 500 companies without a meaningful climate plan to join us in implementing one. We’re a medium-sized business, but we need the biggest businesses on board to make the necessary impact. 
 

 Visit drinksustainably.com to help us take action and give big business a last call on climate. Link in bio.
 

 Proceeds from Torched Earth Ale benefit @protectourwinters.
 

 #lastcallonclimate","NEW BELGIUM BREWING COMPANY, INC.",,"[{'percentage': '0.239648', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.760352', 'age': '25-34', 'gender': 'male'}]","{'lower_bound': '175000', 'upper_bound': '199999'}","{'lower_bound': '1500', 'upper_bound': '1999'}",2021-04-20,"Gender: Male  
Explanation: The ad focuses on beer, traditionally marketed towards men, coupled with environmental activism, typically seeing higher male engagement in climate advocacy.",male,male
688358195886104.0,"The turbines that provide clean wind energy also create new habitats for fish, keeping the ecosystem healthy.",Dominion Energy,,"[{'percentage': '0.220662', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.313175', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.210223', 'age': '65+', 'gender': 'male'}, {'percentage': '0.25594', 'age': '55-64', 'gender': 'male'}]","{'lower_bound': '3000', 'upper_bound': '3999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-11-04,"Gender: Male  
Explanation: Men are often more interested in technology and engineering, including renewable energy solutions like wind turbines.",male,male
1063178437827406.0,"Meet the first carbon negative fragrance. Air Eau de Parfum converts CO2 into something beautiful: sustainable ethanol blended with notes of orange peel, fig leaf, powdery musk and tobacco invigorating scent that redefines what is possible. Available exclusively at aircompany.com",Air Company,,"[{'percentage': '0.616692', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.309892', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.069552', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.003864', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-10-22,"Gender: Female
Explanation: The fragrance notes like fig leaf, powdery musk, and sustainable ethanol typically resonate more with female audiences in fragrance marketing.",male,female
855138055197886.0,"Cityzenith’s revolutionary AI Digital Twin platform uses 3D virtual models to reduce carbon emissions from 50 to 100%
 

 Cityzenith’s Digital Twin technology platform is rolling out across 300 cities over the next five years using data and machine learning to transform the built environment both in terms of cost and meeting zero carbon emission targets. Industry groups forecast $280bn in savings for cities through the implementation of Digital Twins.
 

 If that sounds right up your alley, you're in luck. 🍀
 

 They're LIVE on Wefunder and accepting investments.",Arora Project,,"[{'percentage': '0.272059', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.066176', 'age': '65+', 'gender': 'male'}, {'percentage': '0.102941', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.257353', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.257353', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.044118', 'age': '18-24', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-09-28,"Gender: Male  
Explanation: The ad's focus on technology, investment, and economic savings typically resonates more with male interests and decision-making tendencies.",male,male
521391399177604.0,"Switch to 100% clean energy in minutes with no installations, changes to utility provider, or your way of life.","Inspire Energy Holdings, LLC",,"[{'percentage': '0.184593', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.357267', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.34157', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.11657', 'age': '25-34', 'gender': 'male'}]","{'lower_bound': '4000', 'upper_bound': '4999'}","{'lower_bound': '200', 'upper_bound': '299'}",2021-09-21,"Gender: Female  
Explanation: Women often show higher concern for environmental issues and may be more responsive to ads about clean energy benefits.",male,female
401194111275987.0,"Meet the leaders of RIZOME, your smartest investment opp yet and the company decarbonizing the construction industry with ultra-strong bamboo:  
 

 𝗥𝘂𝘀𝘀𝗲𝗹𝗹 𝗦𝗺𝗶𝘁𝗵, 𝗖𝗘𝗢
 

 🌿 3x product launch innovator
 🌿 Expert in scaling new innovations for construction and technology companies 
 🌿 Developing bamboo as a climate-positive building material
 

 𝗗𝗮𝘃𝗶𝗱 𝗦𝗮𝗻𝗱𝘀, 𝗖𝗵𝗶𝗲𝗳 𝗗𝗲𝘀𝗶𝗴𝗻 𝗢𝗳𝗳𝗶𝗰𝗲𝗿 𝗮𝗻𝗱 𝗙𝗼𝘂𝗻𝗱𝗲𝗿
 

 🌿 Architect and bamboo expert
 🌿 Pioneered the certification of bamboo as a structural material in the U.S. 
 🌿 Built over 500 developments using bamboo as main structural element 
 🌿 Developing bamboo plywood for greener construction everywhere 
 

 𝗧𝗿𝗼𝘆 𝗖𝗮𝗿𝘁𝗲𝗿, 𝗖𝗵𝗶𝗲𝗳 𝗦𝘁𝗿𝗮𝘁𝗲𝗴𝘆 𝗢𝗳𝗳𝗶𝗰𝗲𝗿
 

 🌿 Visionary entrepreneur
 🌿 Stanford graduate with prior successful exit
 🌿 Expert in financing renewable energy and regenerative agriculture
 

 𝗙𝗿𝗲𝗱 𝗠𝘂𝗿𝗿𝗲𝗹𝗹, 𝗖𝗵𝗮𝗶𝗿𝗺𝗮𝗻 𝗼𝗳 𝘁𝗵𝗲 𝗕𝗼𝗮𝗿𝗱
 

 🌿 Long-time angel investor and advisor 
 🌿 Expert helping businesses launch, protect intellectual property, and work abroad 
 

 Join this stellar team in building the climate-positive future we need.",Arora Project,,"[{'percentage': '0.006897', 'age': '65+', 'gender': 'male'}, {'percentage': '0.009195', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.067433', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.469732', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.428352', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.018391', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-07-06,"Gender: Male  
Explanation: The focus on innovation, entrepreneurship, and investment suggests targeting males, who typically dominate these sectors statistically.",male,male
931888734023874.0,"Eaton County's EATRAN runs on propane.
 They've reduced carbon emissions by 50% and saved $60,000 annually through a simple propane conversion on their buses.
 Ready to try it? We have the propane rebates to pay for it. Apply for one today!",CR,,"[{'percentage': '0.095768', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.213252', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.19098', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.121938', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.378062', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '3000', 'upper_bound': '3999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-06-22,"Gender: Male
Explanation: Males often show higher interest in vehicle-related savings and emission reduction technologies, aligning with the ad's focus on operational efficiency.",male,male
3024511481135625.0,Get clean water and pollution-free electricity to all of America.,David Stauffer,,"[{'percentage': '1', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2022-01-19,"Gender: Male
Explanation: Men may be more targeted due to a focus on broad infrastructure initiatives and solutions related to energy and water systems.
",male,male
312867574025719.0,"Join Black Millennials 4 Flint in partnership with @shopopen, Memphis Tilth, @wholekingdomwellness, Center for Transforming Communities and Privileged, LLC for a DOPE conversation surrounding the intersection of Black Men's Health and the need for more representation of Black Farmers in the agricultural space in North Memphis.
 

 PRIZES+FREEBIES
 

 --Free Haircuts to the first 10 customers booked between 12PM-2PM.
 

 --Male Grooming Oil Giveaways
 

 --Free Food
 

 This is a kid friendly event (with an accompanied adult). 
 

 All CDC COVID-19 guidance will be followed. Mask wearing required at all times.",Black Millennials 4 Flint,,"[{'percentage': '0.014563', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.004854', 'age': '65+', 'gender': 'male'}, {'percentage': '0.005825', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.339806', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.566019', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.068932', 'age': '35-44', 'gender': 'male'}]","{'lower_bound': '4000', 'upper_bound': '4999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-12-07,"Gender: Male
Explanation: The event highlights Black Men's Health, free haircuts, and male grooming oil giveaways, indicating a clear focus on males.",male,male
1227593477677652.0,"As Mainers, we owe it to our children and grandchildren to reduce our dependence on oil and gas. The Clean Energy Corridor will help us do it.",New England Clean Energy Connect,,"[{'percentage': '0.253434', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.250788', 'age': '65+', 'gender': 'male'}, {'percentage': '0.269153', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.226625', 'age': '35-44', 'gender': 'male'}]","{'lower_bound': '60000', 'upper_bound': '69999'}","{'lower_bound': '1500', 'upper_bound': '1999'}",2021-04-23,"Gender: Female  
Explanation: Women are often key decision-makers in households and more likely to prioritize environmental sustainability for future generations.",male,female
3816434871809455.0,"An Insider Guide for Oil and Gas Workers…. 4 Quick Steps to replace fear and anxiety with financial security!
 

 Join me for a FREE webinar https://eric1ef573.clickfunnels.com/auto-webinar-registration8q6jsu9z",Regatta Research & Money Management,,"[{'percentage': '0.33847', 'age': '65+', 'gender': 'male'}, {'percentage': '0.3653', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.079802', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.216428', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '15000', 'upper_bound': '19999'}","{'lower_bound': '100', 'upper_bound': '199'}",2021-03-23,"Gender: Male  
Explanation: Oil and gas industries traditionally employ more men, making males the most probable target for the financial security webinar.",male,male
309419777248657.0,"Propane leads Michigan onto the path of Clean Energy
 Propane Can Do That",CR,,"[{'percentage': '5.5E-5', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.003533', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.900237', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.078397', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.006404', 'age': '65+', 'gender': 'male'}, {'percentage': '0.011373', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '30000', 'upper_bound': '34999'}","{'lower_bound': '100', 'upper_bound': '199'}",2021-10-20,"Gender: Male  
Explanation: Propane-related ads often target males due to their interest in grilling, machinery, heating systems, and other technical uses.",male,male
1027787224462753.0,"Here we are again. Another summer of Flex Alerts, terrifying wildfires, and rolling blackouts.
 

 Last year, more than 30,000 batteries at homes and businesses shared their power with the grid, discharging as much power as a polluting gas plant!
 

 So why are utility monopolies working so hard to kill off rooftop solar? Because they care about their bottom line, not what is best for US.
 

 Governor Newsom, please say NO to PG&E’s profit grab and say YES to giving Californians the tools to protect themselves.",Solar Rights Alliance,,"[{'percentage': '0.012879', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.121435', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.198712', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.219871', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.194112', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.25299', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-09-22,"Gender: Male
Explanation: The ad's urgent, power-centered tone and emphasis on tool-based protection may resonate more with traditional male concerns and interests.",male,male
225323552948296.0,"The choice is clear: Alex Askew has a record of raising taxes, increasing electric bills and making our cost of living higher.
 

 Vote Karen Greenhalgh for Delegate: She will cut the gas tax, end grocery taxes and reduce our cost of living.","Karen Greenhalgh for Delegate, Inc.",,"[{'percentage': '0.322572', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.373344', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.304084', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '10000', 'upper_bound': '14999'}","{'lower_bound': '100', 'upper_bound': '199'}",2021-09-18,"Gender: Male
Explanation: Men are often more concerned with economic issues like taxes and cost of living, making them the likely target for this ad.
",male,male
797748567568628.0,"Four years ago, the story of nuns fighting a natural gas pipeline was international news. Today, the nuns are still in courting fighting the ""spiritual"" damage of the pipeline, but as the gas flows the fight is largely forgotten by local residents.
 

 https://delawarevalleyjournal.com/lancaster-nuns-still-fighting-pipeline-most-have-forgotten/",InsideSources,,"[{'percentage': '0.334302', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.09593', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.424419', 'age': '65+', 'gender': 'male'}, {'percentage': '0.145349', 'age': '45-54', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-08-25,"Gender: Female  
Explanation: The ad's focus on nuns and ""spiritual"" damage resonates more with female audiences concerned with social justice and environmental issues.",male,female
228913805799070.0,Ohio Propane is the clean fuel heating rural-homes and fueling appliances.,CR,,"[{'percentage': '0.888971', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.111029', 'age': '35-44', 'gender': 'male'}]","{'lower_bound': '15000', 'upper_bound': '19999'}","{'lower_bound': '200', 'upper_bound': '299'}",2021-08-05,"Gender: Male  
Explanation: Men are often more involved in home maintenance decisions, such as heating and fuel options for rural homes.",male,male
894358584510978.0,"Invest in the future of reduced emissions.
 

 Starting with fundamental dynamics of how engines operate, ICHOR has revolutionized fuel injection technology, resulting in lower emissions and increased fuel savings. The resulting RKI Injector is self-pressurized, eliminating emissions by up to 90% and decreasing fuel consumption by 15%-30%. ICHOR injectors work with any liquid fuel including but not limited to Gasoline, Diesel, Liquid Natural Gas, Propane, and even Hydrogen. Geneva award winner and multiple development agreements have already been signed with Mazda, Kohler, & Weichai.
 

 Learn more about our technology disrupting a $60B+ market and invest in ICHOR only on:
 

 http://invest.ichortech.com/get-started
 

 This Reg CF offering is made available through StartEngine Primary, LLC, member FINRA/SIPC, and is highly speculative and illiquid.","Ichor, LLC",,"[{'percentage': '0.192857', 'age': '65+', 'gender': 'male'}, {'percentage': '0.185714', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.15', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.142857', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.292857', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.035714', 'age': '18-24', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-07-27,"Gender: Male  
Explanation: The ad focuses on technical aspects of engines, fuel efficiency, and emissions, which traditionally appeal more to male audiences.",male,male
503805524155205.0,"Pennsylvania is the second-largest producer of natural gas in the country but falls far short of the pipeline infrastructure needed to connect production with the end consumer. 
 

 https://delawarevalleyjournal.com/godsey-alternative-pipeline-installation-critical-for-environmental-protection/",InsideSources,,"[{'percentage': '0.248876', 'age': '65+', 'gender': 'male'}, {'percentage': '0.224888', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.202399', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.323838', 'age': '55-64', 'gender': 'male'}]","{'lower_bound': '1000', 'upper_bound': '1999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-06-15,"Gender: Male  
Explanation: Males are generally more represented in energy sectors and infrastructure discussions, making them the primary target for this ad.",male,male
279281187242122.0,Join us as we discuss the Israel/Palestine conflict and the gas shortage in the States!,Brian Badi Taef,,"[{'percentage': '0.407407', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.15873', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.433862', 'age': '35-44', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '999'}","{'lower_bound': '0', 'upper_bound': '99'}",2021-05-18,"Gender: Male
Explanation: Political and energy topics typically garner more interest from men due to perceived relevance and traditionally higher engagement.",male,male
